,comment,comment_id,author_url,author_name,reply_count,like_count,date,vidid,total_reply_counts,vid_title,just_date
21,Ready bibit nya gg kak yg sudah besar mapan,UgyE69svunAEtZTBZ5h4AaABAg,http://www.youtube.com/channel/UCS9Q6fz9A9_uPGCFZHKt2ww,Ifda Amalia,4,0,2021-11-22 21:05:18+00:00,lQPtUq6xGXY,4,Jeruk yang Paling Manis - Santang  Madu?,2021-11-22
22,Assalamualaikum.. ni didearah lndonesia mana ya?,UgypdCIinkYDtAZ0jSB4AaABAg,http://www.youtube.com/channel/UC2eTZiB4KrrM-56Kj86qh_A,Rokiah Jantan,5,0,2021-11-22 14:18:59+00:00,lQPtUq6xGXY,5,Jeruk yang Paling Manis - Santang  Madu?,2021-11-22
23,Itu tanam di pot?,Ugyg_LT6MOGEmrsmw_54AaABAg,http://www.youtube.com/channel/UC--_JNAvGOFFp7k79xxcmNg,Payung Hijau,3,0,2021-11-18 05:54:05+00:00,z6jIIrKKWwI,3,Panen Nangka Mini - Hasil Penantian 2 Tahun !,2021-11-18
24,Bisa beli bibitnya bang? Saya di malang selatan,UgzBxwAiFYdDmFDcF9h4AaABAg,http://www.youtube.com/channel/UCRvVur47ERlReRv2SDRyvZw,PAGELARAN BerTANI,1,1,2021-11-16 07:08:56+00:00,lQPtUq6xGXY,1,Jeruk yang Paling Manis - Santang  Madu?,2021-11-16
25,"Mantaaaaaaapppp, bisa kali diangkut pohonnya 😁",Ugz5-1ybb6y2Hlb-peh4AaABAg,http://www.youtube.com/channel/UCkeAQSgSLhR_wWhm8c5rbxg,Andy Priatna,1,0,2021-11-16 04:35:54+00:00,IZ8qk8cYPzs,1,Buah Mangga Paling Enak l Mahacanok/ Gadung/ Manalagi ?,2021-11-16
26,Trimakasih  udah di Bales Dek,UgyAvgZe2Q_Wbt2fdxV4AaABAg,http://www.youtube.com/channel/UCNlTV-zU3fd8nP8zdBMAwOw,Khoiriyah Paeran,0,0,2021-11-15 16:43:34+00:00,lQPtUq6xGXY,0,Jeruk yang Paling Manis - Santang  Madu?,2021-11-15
27,Brp harganya  bibit nya Dek,UgzJfDIzexmiZitbp6p4AaABAg,http://www.youtube.com/channel/UCNlTV-zU3fd8nP8zdBMAwOw,Khoiriyah Paeran,1,0,2021-11-15 03:00:39+00:00,lQPtUq6xGXY,1,Jeruk yang Paling Manis - Santang  Madu?,2021-11-15
28,Mantab,UgwMmHGBYk_K269LBBp4AaABAg,http://www.youtube.com/channel/UC-PeQFAONsbBfJx7Jxj3MtQ,Lachozidanes channel tanaman,0,0,2021-11-13 23:14:36+00:00,R9YzqjX-i0A,0,mamey sapote sawo jumbo -buah langka yang banyak dicari,2021-11-13
29,"mas klo jeruk santang madu itu kan ktax gk brduri,apkh jeruk sambel juga sma gk brduri??",UgyHYY8MLe_W9oemEux4AaABAg,http://www.youtube.com/channel/UCzPdmZhQ60u3f1nH7ksoMHA,Titik Tubanggi,3,0,2021-11-13 09:40:57+00:00,lQPtUq6xGXY,3,Jeruk yang Paling Manis - Santang  Madu?,2021-11-13
30,"Rajin update bibit buah terbaru ya bro, wes tak subscribe iki lho.",Ugw8L2iqfvLAW5Wikwp4AaABAg,http://www.youtube.com/channel/UCsdv6hMNUVlpKMWFMLkdjXw,Jon Parahmen,1,0,2021-11-12 08:48:16+00:00,ZVsPg7mFSJY,1,Buah Kecil yang Manis - Tin Dalmatie,2021-11-12
31,"Salam hadir bang, waoow mantap thu rasa manis jeruk santang madu👍👍👍👍, jeruk 🍊santana madu ampir sama jeruk sambil bedanya santang madu rasa manis",Ugxd6p3cyWFMxf6JpYp4AaABAg,http://www.youtube.com/channel/UCXDNcw0abi1iLMBR4RDIxXA,IMAH CAEM VLOG,0,2,2021-11-11 23:09:58+00:00,lQPtUq6xGXY,0,Jeruk yang Paling Manis - Santang  Madu?,2021-11-11
32,"Mau dong pak nyicip jeruknya, berapa sekilonya?",UgzJy60rByyWOaoUIrR4AaABAg,http://www.youtube.com/channel/UCiyKOgFZiACRWID9b1sspnw,Adin Ikhwan TV,1,0,2021-11-08 16:55:24+00:00,lQPtUq6xGXY,1,Jeruk yang Paling Manis - Santang  Madu?,2021-11-08
33,"Itu kucing item bagus acting nya, bisa-bisanya manjat pohon natural bngt 👍🏻👍🏻",UgwFK6KA3xotibF34E14AaABAg,http://www.youtube.com/channel/UCny4CYPSu4aEL0kO6oV8ppA,Seka alfauzan,1,0,2021-11-08 11:33:00+00:00,IZ8qk8cYPzs,1,Buah Mangga Paling Enak l Mahacanok/ Gadung/ Manalagi ?,2021-11-08
34,Mantap sekali👍,Ugza0X-9eNmCQFYWI1J4AaABAg,http://www.youtube.com/channel/UCZlEq0VJs7WrcwiiCOyyc4g,bejo gatotkaca,1,0,2021-10-31 13:38:12+00:00,lQPtUq6xGXY,1,Jeruk yang Paling Manis - Santang  Madu?,2021-10-31
35,"katanya tmnku ngk enak lho, rasanya ngk enak",UgwnYl9GHRZJBd4rDzB4AaABAg,http://www.youtube.com/channel/UCvCgO5qX0F07Owz_1gMdBVQ,Muhammad Fadil,1,0,2021-10-31 09:51:24+00:00,R9YzqjX-i0A,1,mamey sapote sawo jumbo -buah langka yang banyak dicari,2021-10-31
36,"kuwotes of the day ""melted kaya daging wahyu"" 🤌",UgxdshI1aPo6mJ_eX5N4AaABAg,http://www.youtube.com/channel/UCGfMPj7qH0mMnWqL41zouGw,Tri Nurhadi,0,0,2021-10-28 16:05:39+00:00,ZVsPg7mFSJY,0,Buah Kecil yang Manis - Tin Dalmatie,2021-10-28
37,mana kang review mangga yang belum mateng,Ugzmq8d2ChXf0tSon_N4AaABAg,http://www.youtube.com/channel/UCGfMPj7qH0mMnWqL41zouGw,Tri Nurhadi,1,0,2021-10-28 04:57:37+00:00,RrOt0t8j5zo,1,Mangga yang Paling Harum - Mangga Jin Xing.,2021-10-28
